Timestamp,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base,Taker_buy_quote,Ignore
1748736000000,104591.88000000,104647.11000000,104320.02000000,104446.49000000,293.78295000,1748739599999,30688862.20908260,81426,131.48518000,13734263.47444880,0
1748739600000,104446.49000000,104505.58000000,103991.37000000,104126.07000000,466.13267000,1748743199999,48597321.05228810,86577,153.68227000,16026390.67633320,0
1748743200000,104126.08000000,104324.21000000,103924.52000000,104195.12000000,313.34738000,1748746799999,32628297.36497210,78286,159.68914000,16630529.97330230,0
1748746800000,104195.13000000,104464.10000000,103971.70000000,104381.03000000,259.25466000,1748750399999,27014129.68854010,59060,158.29551000,16498119.39629630,0
1748750400000,104381.03000000,104729.99000000,104360.90000000,104633.16000000,272.61866000,1748753999999,28503769.20343810,51894,152.97780000,15993219.07479500,0
1748754000000,104633.16000000,104714.29000000,104450.00000000,104536.57000000,214.06083000,1748757599999,22392766.71006080,39907,100.73323000,10538226.40068970,0
1748757600000,104536.57000000,104536.58000000,104195.12000000,104258.93000000,257.26107000,1748761199999,26843395.91883380,59936,102.04746000,10646333.61197280,0
1748761200000,104258.93000000,104370.38000000,104202.48000000,104275.95000000,191.32180000,1748764799999,19951009.90648020,41555,99.23189000,10347839.78604230,0
1748764800000,104275.95000000,104386.60000000,104220.70000000,104386.60000000,247.34836000,1748768399999,25796391.34818410,48734,136.94903000,14282720.67450390,0
1748768400000,104386.60000000,104459.07000000,103752.49000000,103934.34000000,679.61906000,1748771999999,70671954.64443130,158481,242.40663000,25206862.63632760,0
1748772000000,103934.35000000,104040.52000000,103773.69000000,103930.99000000,302.13053000,1748775599999,31392765.45749010,74097,147.41842000,15317680.32926660,0
1748775600000,103930.98000000,104152.24000000,103845.46000000,104082.68000000,286.47453000,1748779199999,29801476.92049330,54950,167.24245000,17397517.03711700,0
1748779200000,104082.67000000,104190.48000000,103783.01000000,103956.26000000,354.08075000,1748782799999,36820595.17278340,63820,188.06267000,19561006.71919100,0
1748782800000,103956.25000000,104424.64000000,103951.61000000,104259.20000000,323.14616000,1748786399999,33684611.70746210,72939,175.29248000,18270693.36155070,0
1748786400000,104259.19000000,104773.59000000,104259.19000000,104599.70000000,782.69419000,1748789999999,81882684.99025310,122857,381.66764000,39925095.80656060,0
1748790000000,104599.70000000,104809.53000000,104502.99000000,104715.10000000,409.06118000,1748793599999,42824799.38657390,74103,179.45948000,18788236.21411760,0
1748793600000,104715.10000000,105299.21000000,104659.47000000,105038.80000000,1174.85040000,1748797199999,123464322.88067470,163128,591.08572000,62109997.73151400,0
1748797200000,105038.80000000,105192.99000000,104986.20000000,105066.33000000,319.00519000,1748800799999,33522674.18629170,66223,126.70809000,13315963.80871680,0
1748800800000,105066.34000000,105066.34000000,104319.79000000,104900.01000000,575.53740000,1748804399999,60264914.09137680,121830,275.58897000,28858471.17320910,0
1748804400000,104900.01000000,105156.73000000,104805.44000000,105121.94000000,361.59685000,1748807999999,37964676.28089640,71578,168.02083000,17640911.45294560,0
1748808000000,105121.95000000,105300.00000000,104893.72000000,104948.91000000,324.69341000,1748811599999,34125381.59830510,60800,144.75860000,15217105.26258610,0
1748811600000,104948.91000000,105504.67000000,104926.82000000,105496.54000000,414.58616000,1748815199999,43637577.41463890,68691,227.65069000,23956435.21562110,0
1748815200000,105496.54000000,105737.84000000,105414.63000000,105512.18000000,474.08063000,1748818799999,50049837.19428120,120760,208.90746000,22054667.31286450,0
1748818800000,105512.17000000,105866.91000000,105466.39000000,105642.93000000,413.01524000,1748822399999,43664271.62276770,97727,220.98906000,23365179.80481170,0
1748822400000,105642.93000000,105735.42000000,105404.31000000,105427.48000000,432.43804000,1748825999999,45644388.03464300,124446,192.02670000,20268734.77003200,0
1748826000000,105427.48000000,105658.38000000,105349.63000000,105388.59000000,368.13444000,1748829599999,38824917.17069290,69135,175.85592000,18545169.16980070,0
1748829600000,105388.58000000,105414.64000000,105019.05000000,105026.98000000,500.23301000,1748833199999,52630972.97373380,82762,261.14626000,27475207.04165600,0
1748833200000,105026.97000000,105055.10000000,104571.42000000,104829.27000000,586.76964000,1748836799999,61514191.44591680,91452,264.23156000,27699390.88452070,0
1748836800000,104829.27000000,104997.06000000,104700.03000000,104765.48000000,262.60797000,1748840399999,27542460.87381350,54803,102.82939000,10783347.71230600,0
1748840400000,104765.48000000,104918.04000000,104610.13000000,104833.79000000,244.85997000,1748843999999,25653810.13295170,54800,107.78251000,11292367.75092600,0
1748844000000,104833.79000000,105266.87000000,104732.38000000,105162.38000000,470.58034000,1748847599999,49416114.32496270,75831,248.44976000,26093784.10533880,0
1748847600000,105162.39000000,105438.87000000,105162.38000000,105387.67000000,346.57956000,1748851199999,36501986.09379960,91612,178.31642000,18781052.07524150,0
1748851200000,105387.67000000,105935.63000000,105241.18000000,105328.43000000,705.16393000,1748854799999,74459378.69329560,140780,329.47150000,34797223.37414310,0
1748854800000,105328.43000000,105335.99000000,104483.64000000,104585.36000000,998.93630000,1748858399999,104697169.97378040,172301,422.16262000,44233829.20959060,0
1748858400000,104585.37000000,104660.00000000,104254.71000000,104370.85000000,704.18464000,1748861999999,73529129.66392560,135516,328.78417000,34330648.54518800,0
1748862000000,104370.85000000,104487.82000000,103941.00000000,104047.64000000,725.62490000,1748865599999,75610914.83978540,122904,314.46808000,32778254.99888660,0
1748865600000,104047.63000000,104281.98000000,103862.50000000,104200.32000000,696.19227000,1748869199999,72428407.75472190,126313,381.63249000,39706336.15580140,0
1748869200000,104200.32000000,104570.57000000,103700.00000000,103800.00000000,1053.66155000,1748872799999,109662944.94634730,230769,494.03273000,51450126.78168380,0
1748872800000,103799.99000000,104679.25000000,103659.88000000,104176.62000000,1127.64518000,1748876399999,117529936.93586370,295549,648.78513000,67624310.22313650,0
1748876400000,104176.61000000,104565.32000000,103905.10000000,104438.79000000,580.04610000,1748879999999,60486352.66374090,169893,291.87302000,30440342.65614400,0
1748880000000,104438.79000000,104450.01000000,104030.01000000,104286.06000000,501.02384000,1748883599999,52218613.86291080,143381,251.47437000,26209510.47732760,0
1748883600000,104286.06000000,104490.57000000,104095.23000000,104399.89000000,372.61381000,1748887199999,38866091.71355280,127480,159.04760000,16589763.04626400,0
1748887200000,104399.89000000,104731.95000000,104200.00000000,104361.54000000,367.55001000,1748890799999,38382363.78607670,127966,169.63533000,17715640.03701030,0
1748890800000,104361.54000000,104510.96000000,104050.96000000,104425.63000000,339.86150000,1748894399999,35448015.66837500,91402,141.64243000,14772226.37521410,0
1748894400000,104425.64000000,104995.93000000,104425.64000000,104878.62000000,440.97656000,1748897999999,46210808.34117600,99964,231.76383000,24289896.03609380,0
